,Course,Model,Reciprocal_Rank
0,Agile Planning for Software Products,Author-Topic,0.058823529411764705
1,Agile Planning for Software Products,Author-Topic,0.07692307692307693
2,Agile Planning for Software Products,Author-Topic,0.25
3,Agile Planning for Software Products,Author-Topic,0.07692307692307693
4,Agile Planning for Software Products,Author-Topic,0.07692307692307693
5,Agile Planning for Software Products,Author-Topic,0.07692307692307693
6,Agile Planning for Software Products,Author-Topic,0.07692307692307693
7,Agile Planning for Software Products,Author-Topic,0.05263157894736842
8,Agile Planning for Software Products,Author-Topic,0.07692307692307693
9,Agile Planning for Software Products,Author-Topic,0.058823529411764705
10,Agile Planning for Software Products,Author-Topic,0.25
11,Agile Planning for Software Products,Author-Topic,0.047619047619047616
12,Agile Planning for Software Products,Author-Topic,0.07692307692307693
13,Agile Planning for Software Products,Author-Topic,0.07692307692307693
14,Agile Planning for Software Products,Author-Topic,0.07692307692307693
15,Agile Planning for Software Products,Author-Topic,0.07692307692307693
16,Agile Planning for Software Products,Author-Topic,0.05263157894736842
17,Agile Planning for Software Products,Author-Topic,0.058823529411764705
18,Agile Planning for Software Products,Author-Topic,0.1
19,Agile Planning for Software Products,Author-Topic,0.058823529411764705
20,Agile Planning for Software Products,Author-Topic,0.05263157894736842
21,Agile Planning for Software Products,Author-Topic,0.045454545454545456
22,Agile Planning for Software Products,Author-Topic,0.07692307692307693
23,Agile Planning for Software Products,Author-Topic,0.07692307692307693
24,Agile Planning for Software Products,Author-Topic,0.037037037037037035
25,Agile Planning for Software Products,Author-Topic,0.07692307692307693
26,Agile Planning for Software Products,Author-Topic,0.07692307692307693
27,Agile Planning for Software Products,Author-Topic,0.05263157894736842
28,Agile Planning for Software Products,Author-Topic,0.07692307692307693
29,Agile Planning for Software Products,Author-Topic,0.043478260869565216
30,Agile Planning for Software Products,Author-Topic,0.058823529411764705
31,Agile Planning for Software Products,Author-Topic,0.058823529411764705
32,Agile Planning for Software Products,Author-Topic,0.07692307692307693
33,Agile Planning for Software Products,Author-Topic,0.07692307692307693
34,Agile Planning for Software Products,Author-Topic,0.07692307692307693
35,Agile Planning for Software Products,Author-Topic,0.07692307692307693
36,Agile Planning for Software Products,Author-Topic,0.25
37,Agile Planning for Software Products,Author-Topic,0.07692307692307693
38,Agile Planning for Software Products,Author-Topic,0.058823529411764705
39,Agile Planning for Software Products,Author-Topic,0.034482758620689655
40,Agile Planning for Software Products,Author-Topic,0.07692307692307693
41,Agile Planning for Software Products,Author-Topic,0.037037037037037035
42,Agile Planning for Software Products,Author-Topic,0.05263157894736842
43,Agile Planning for Software Products,Author-Topic,0.07692307692307693
44,Agile Planning for Software Products,Author-Topic,0.058823529411764705
45,Agile Planning for Software Products,Author-Topic,0.027777777777777776
46,Agile Planning for Software Products,Author-Topic,0.058823529411764705
47,Agile Planning for Software Products,Author-Topic,0.058823529411764705
48,Agile Planning for Software Products,Author-Topic,0.07692307692307693
49,Agile Planning for Software Products,Author-Topic,0.047619047619047616
50,Agile Planning for Software Products,Author-Topic,0.037037037037037035
51,Agile Planning for Software Products,Author-Topic,0.07692307692307693
52,Agile Planning for Software Products,Author-Topic,0.058823529411764705
53,Agile Planning for Software Products,Author-Topic,0.058823529411764705
54,Agile Planning for Software Products,Author-Topic,0.05263157894736842
55,Agile Planning for Software Products,Author-Topic,0.07692307692307693
56,Agile Planning for Software Products,Author-Topic,0.07692307692307693
57,Agile Planning for Software Products,Author-Topic,0.058823529411764705
58,Agile Planning for Software Products,Author-Topic,0.05263157894736842
59,Agile Planning for Software Products,Author-Topic,0.058823529411764705
60,Agile Planning for Software Products,Author-Topic,0.07692307692307693
61,Agile Planning for Software Products,Author-Topic,0.07692307692307693
62,Agile Planning for Software Products,Author-Topic,0.05263157894736842
63,Agile Planning for Software Products,Author-Topic,0.07692307692307693
64,Agile Planning for Software Products,Author-Topic,0.037037037037037035
65,Agile Planning for Software Products,Author-Topic,0.058823529411764705
66,Agile Planning for Software Products,Author-Topic,0.058823529411764705
67,Agile Planning for Software Products,Author-Topic,0.058823529411764705
68,Agile Planning for Software Products,Author-Topic,0.05
69,Agile Planning for Software Products,Author-Topic,0.058823529411764705
70,Agile Planning for Software Products,Author-Topic,0.07692307692307693
71,Agile Planning for Software Products,Author-Topic,0.07692307692307693
72,Agile Planning for Software Products,Author-Topic,0.058823529411764705
73,Agile Planning for Software Products,Author-Topic,0.07692307692307693
74,Agile Planning for Software Products,Author-Topic,0.037037037037037035
75,Agile Planning for Software Products,Author-Topic,0.047619047619047616
76,Agile Planning for Software Products,Author-Topic,0.07692307692307693
77,Agile Planning for Software Products,Author-Topic,0.07692307692307693
78,Agile Planning for Software Products,Author-Topic,0.05263157894736842
79,Agile Planning for Software Products,Author-Topic,0.07692307692307693
80,Agile Planning for Software Products,Author-Topic,0.047619047619047616
81,Agile Planning for Software Products,Author-Topic,0.058823529411764705
82,Agile Planning for Software Products,Author-Topic,0.05263157894736842
